caso,id_correcto,posicion,id_resultado,score,juicio,quien,fecha
caso-006,AIM-P001-006,2,AIM-P202-019,0.7168,Sirve,Andres y Samir,2026-09-23 13:33:16
caso-006,AIM-P001-006,3,AIM-P227-035,0.7031,Sirve,Andres y Samir,2026-09-23 13:33:18
caso-006,AIM-P001-006,4,AIM-P098-057,0.6991,No sirve,Andres y Samir,2026-09-23 13:33:18
caso-006,AIM-P001-006,5,AIM-P033-037,0.6971,No sirve,Andres y Samir,2026-09-23 13:33:20
caso-007,AIM-P001-007,1,AIM-P250-008,0.5987,Sirve,Andres y Samir,2026-09-23 13:33:22
caso-007,AIM-P001-007,2,AIM-P226-042,0.5767,Sirve,Andres y Samir,2026-09-23 13:33:23
caso-007,AIM-P001-007,3,AIM-P062-004,0.5729,Sirve,Andres y Samir,2026-09-23 13:33:25
caso-007,AIM-P001-007,4,AIM-P053-029,0.5575,No sirve,Andres y Samir,2026-09-23 13:33:27
caso-007,AIM-P001-007,5,AIM-P082-045,0.5554,No sirve,Andres y Samir,2026-09-23 13:33:28
caso-008,AIM-P001-008,1,AIM-P011-025,0.5884,No sirve,Andres y Samir,2026-09-23 13:33:33
caso-008,AIM-P001-008,2,AIM-P062-004,0.572,No sirve,Andres y Samir,2026-09-23 13:33:35
caso-008,AIM-P001-008,3,AIM-P199-054,0.5407,No sirve,Andres y Samir,2026-09-23 13:33:35
caso-008,AIM-P001-008,4,AIM-P098-008,0.5379,No sirve,Andres y Samir,2026-09-23 13:33:37
caso-008,AIM-P001-008,5,AIM-P053-029,0.5313,No sirve,Andres y Samir,2026-09-23 13:33:43
caso-009,AIM-P001-009,1,AIM-P254-033,0.6854,Sirve,Andres y Samir,2026-09-23 13:33:47
caso-009,AIM-P001-009,2,AIM-P146-011,0.6775,No sirve,Andres y Samir,2026-09-23 13:33:48
caso-009,AIM-P001-009,3,AIM-P126-008,0.6745,Sirve,Andres y Samir,2026-09-23 13:33:49
caso-009,AIM-P001-009,4,AIM-P065-033,0.6675,No sirve,Andres y Samir,2026-09-23 13:33:51
caso-009,AIM-P001-009,5,AIM-P206-019,0.6661,No sirve,Andres y Samir,2026-09-23 13:33:52
caso-010,AIM-P001-010,1,AIM-P243-049,0.8054,Sirve,Andres y Samir,2026-09-23 13:34:02
caso-010,AIM-P001-010,2,AIM-P100-040,0.7955,Sirve,Andres y Samir,2026-09-23 13:34:04
caso-010,AIM-P001-010,3,AIM-P217-052,0.7902,Sirve,Andres y Samir,2026-09-23 13:34:05
caso-010,AIM-P001-010,4,AIM-P070-041,0.79,Sirve,Andres y Samir,2026-09-23 13:34:07
caso-010,AIM-P001-010,5,AIM-P010-031,0.7767,No sirve,Andres y Samir,2026-09-23 13:34:08
