caso_imagen,id_correcto,resultado_id,posicion,juicio,puntos
../data/consultas/sr2026092308361857.png,DESCONOCIDO,AIM-P110-045,2,Sirve,1
../data/consultas/sr2026092308361857.png,DESCONOCIDO,AIM-P153-059,3,Sirve,1
../data/consultas/sr2026092308361857.png,DESCONOCIDO,AIM-P013-029,4,Sirve,1
../data/consultas/sr2026092308361857.png,DESCONOCIDO,AIM-P188-033,5,Acierto,3
../data/consultas/sr2026092308371858.png,DESCONOCIDO,AIM-P208-035,1,Sirve,1
../data/consultas/sr2026092308371858.png,DESCONOCIDO,AIM-P183-055,2,No sirve,0
../data/consultas/sr2026092308371858.png,DESCONOCIDO,AIM-P151-009,3,No sirve,0
../data/consultas/sr2026092308371858.png,DESCONOCIDO,AIM-P250-043,4,Sirve,1
../data/consultas/sr2026092308371858.png,DESCONOCIDO,AIM-P153-048,5,No sirve,0
../data/consultas/sr2026092308371859.png,DESCONOCIDO,AIM-P135-021,1,Sirve,1
../data/consultas/sr2026092308371859.png,DESCONOCIDO,AIM-P161-045,2,Sirve,1
../data/consultas/sr2026092308371859.png,DESCONOCIDO,AIM-P029-041,3,No sirve,0
../data/consultas/sr2026092308371859.png,DESCONOCIDO,AIM-P216-040,4,Sirve,1
../data/consultas/sr2026092308371859.png,DESCONOCIDO,AIM-P111-040,5,Acierto,3
../data/consultas/sr2026092308371860.png,DESCONOCIDO,AIM-P117-010,1,Acierto,3
../data/consultas/sr2026092308371860.png,DESCONOCIDO,AIM-P132-034,2,No sirve,0
../data/consultas/sr2026092308371860.png,DESCONOCIDO,AIM-P201-049,3,Sirve,1
../data/consultas/sr2026092308371860.png,DESCONOCIDO,AIM-P142-058,4,Sirve,1
../data/consultas/sr2026092308371860.png,DESCONOCIDO,AIM-P142-056,5,Sirve,1
../data/consultas/sr2026092308391861.png,DESCONOCIDO,AIM-P208-035,1,No sirve,0
../data/consultas/sr2026092308391861.png,DESCONOCIDO,AIM-P182-053,2,No sirve,0
../data/consultas/sr2026092308391861.png,DESCONOCIDO,AIM-P068-046,3,Sirve,1
../data/consultas/sr2026092308391861.png,DESCONOCIDO,AIM-P067-001,4,No sirve,0
../data/consultas/sr2026092308391861.png,DESCONOCIDO,AIM-P044-018,5,No sirve,0
../data/consultas/sr2026092308411862.png,DESCONOCIDO,AIM-P163-040,1,No sirve,0
../data/consultas/sr2026092308411862.png,DESCONOCIDO,AIM-P132-034,2,No sirve,0
../data/consultas/sr2026092308411862.png,DESCONOCIDO,AIM-P168-019,3,No sirve,0
../data/consultas/sr2026092308411862.png,DESCONOCIDO,AIM-P087-034,4,No sirve,0
../data/consultas/sr2026092308411862.png,DESCONOCIDO,AIM-P011-025,5,No sirve,0
../data/consultas/sr2026092308411863.png,DESCONOCIDO,AIM-P098-008,1,Sirve,1
../data/consultas/sr2026092308411863.png,DESCONOCIDO,AIM-P064-013,2,Sirve,1
../data/consultas/sr2026092308411863.png,DESCONOCIDO,AIM-P162-018,3,Sirve,1
../data/consultas/sr2026092308411863.png,DESCONOCIDO,AIM-P048-037,4,Acierto,3
../data/consultas/sr2026092308411863.png,DESCONOCIDO,AIM-P077-054,5,Acierto,3
../data/consultas/sr2026092308431864.png,DESCONOCIDO,AIM-P087-034,1,Acierto,3
../data/consultas/sr2026092308431864.png,DESCONOCIDO,AIM-P231-041,2,Acierto,3
../data/consultas/sr2026092308431864.png,DESCONOCIDO,AIM-P163-040,3,Acierto,3
../data/consultas/sr2026092308431864.png,DESCONOCIDO,AIM-P132-034,4,Acierto,3
../data/consultas/sr2026092308431864.png,DESCONOCIDO,AIM-P155-051,5,Sirve,1
../data/consultas/sr2026092308431865.png,DESCONOCIDO,AIM-P184-022,1,No sirve,0
../data/consultas/sr2026092308431865.png,DESCONOCIDO,AIM-P195-019,2,No sirve,0
../data/consultas/sr2026092308431865.png,DESCONOCIDO,AIM-P252-021,3,Acierto,3
../data/consultas/sr2026092308431865.png,DESCONOCIDO,AIM-P131-032,4,Acierto,3
../data/consultas/sr2026092308431865.png,DESCONOCIDO,AIM-P216-054,5,Acierto,3
